,Player,PTS.1,TRB.1,AST.1,FG%,3P%,FT%,WS,BPM
200,Wendell Carter Jr.,12.2,8.9,2.0,0.513,0.301,0.736,13.7,-0.7
201,Collin Sexton,20.0,3.0,3.3,0.458,0.378,0.827,5.4,-2.5
202,Kevin Knox,7.8,3.0,0.8,0.367,0.34,0.704,-0.5,-4.7
203,Mikal Bridges,11.2,3.9,2.1,0.508,0.376,0.83,24.2,1.1
204,Shai Gilgeous-Alexander,18.2,4.5,4.3,0.473,0.348,0.807,17.8,1.9
205,Miles Bridges,13.1,5.6,2.2,0.471,0.344,0.811,15.4,-0.2
206,Michael Porter Jr.,14.1,6.1,1.1,0.518,0.419,0.795,9.6,2.1
207,Troy Brown Jr.,6.4,3.8,1.6,0.429,0.335,0.754,4.8,-2.1
208,Donte DiVincenzo,8.9,4.6,2.5,0.417,0.344,0.76,9.0,-0.1
209,Lonnie Walker IV,9.3,2.3,1.6,0.414,0.345,0.776,1.8,-3.3
210,Kevin Huerter,11.3,3.5,3.2,0.428,0.375,0.783,8.6,-1.5
211,Josh Okogie,6.4,3.0,1.1,0.401,0.274,0.757,5.1,-2.9
212,Grayson Allen,9.4,2.5,1.5,0.431,0.393,0.84,7.9,-0.8
213,Chandler Hutchison,5.4,3.7,0.8,0.442,0.309,0.643,1.1,-3.9
214,Aaron Holiday,7.4,1.8,2.4,0.416,0.375,0.838,4.8,-2.2
215,Anfernee Simons,10.2,2.2,2.0,0.425,0.392,0.833,4.2,-2.2
216,Moritz Wagner,7.4,3.3,1.1,0.486,0.322,0.814,5.6,-1.4
217,Landry Shamet,8.9,1.8,1.6,0.41,0.393,0.837,10.4,-1.8
218,Robert Williams,7.2,6.6,1.4,0.727,0.0,0.664,18.2,5.2
219,Omari Spellman,6.8,4.3,1.0,0.417,0.366,0.766,2.4,-1.5
220,Jalen Brunson,11.7,3.0,3.7,0.494,0.373,0.795,16.3,0.0
221,Devonte' Graham,13.0,2.5,5.1,0.372,0.359,0.826,10.0,-0.3
222,Gary Trent Jr.,13.2,2.2,1.4,0.413,0.386,0.809,8.7,-1.0
223,Rodions Kurucs,6.0,3.1,0.9,0.444,0.329,0.739,2.3,-2.8
224,Jarred Vanderbilt,5.4,6.2,1.1,0.592,0.15,0.615,9.0,0.1
225,Bruce Brown,7.4,4.2,2.1,0.479,0.309,0.743,11.9,-1.1
226,Hamidou Diallo,8.4,3.9,1.1,0.475,0.277,0.634,5.0,-2.3
227,De'Anthony Melton,8.2,3.5,2.8,0.408,0.357,0.758,7.2,0.4
228,Svi Mykhailiuk,6.6,1.8,1.4,0.398,0.353,0.785,2.6,-2.7
229,Keita Bates-Diop,5.1,2.9,0.6,0.454,0.312,0.708,3.3,-2.3
230,Chimezie Metu,5.9,3.4,0.8,0.459,0.303,0.766,1.9,-2.3
231,Shake Milton,9.8,2.3,2.5,0.444,0.356,0.821,6.2,-1.9
232,Zion Williamson,25.7,7.0,3.2,0.604,0.333,0.683,10.6,4.9
233,Ja Morant,21.2,4.5,7.1,0.474,0.325,0.755,13.8,1.9
234,RJ Barrett,17.4,5.6,2.8,0.419,0.36,0.695,5.7,-2.1
235,De'Andre Hunter,13.2,4.1,1.6,0.436,0.357,0.782,2.9,-3.3
236,Darius Garland,17.1,2.6,6.2,0.442,0.37,0.881,5.4,-1.5
237,Jarrett Culver,6.7,2.7,1.3,0.405,0.284,0.495,0.0,-4.3
238,Coby White,13.8,3.6,3.5,0.415,0.367,0.85,5.9,-2.3
239,Jaxson Hayes,8.0,4.3,0.7,0.642,0.367,0.721,11.8,0.1
240,Rui Hachimura,12.9,5.2,1.5,0.476,0.351,0.791,5.0,-2.9
241,Cam Reddish,10.5,3.2,1.3,0.387,0.325,0.841,1.0,-3.1
242,Cameron Johnson,10.4,3.6,1.4,0.445,0.397,0.849,11.0,1.4
243,P.J. Washington,11.8,5.7,2.3,0.448,0.374,0.701,7.4,-0.9
244,Tyler Herro,16.6,4.6,3.2,0.438,0.38,0.853,6.6,-0.7
245,Sekou Doumbouya,5.6,2.8,0.7,0.388,0.256,0.693,-0.4,-6.5
246,Chuma Okeke,8.2,4.5,1.9,0.393,0.325,0.812,3.4,-0.6
247,Nickeil Alexander-Walker,9.4,2.7,2.2,0.387,0.328,0.725,0.5,-2.7
248,Brandon Clarke,10.9,5.7,1.4,0.591,0.292,0.701,15.0,2.9
249,Grant Williams,5.3,3.0,1.0,0.451,0.372,0.765,7.5,-1.8
250,Darius Bazley,10.0,5.8,1.3,0.406,0.305,0.695,2.0,-2.7
251,Ty Jerome,7.1,1.9,2.4,0.398,0.344,0.784,1.9,-1.9
252,Nassir Little,5.8,3.4,0.7,0.455,0.317,0.727,3.5,-2.2
253,Jordan Poole,13.2,2.4,2.8,0.417,0.34,0.878,5.9,-1.7
254,Keldon Johnson,14.0,5.7,1.7,0.479,0.388,0.75,8.5,-1.0
255,Kevin Porter Jr.,12.9,3.7,4.6,0.418,0.347,0.67,0.2,-3.3
256,Nic Claxton,7.2,4.9,0.9,0.636,0.167,0.54,5.3,0.4
257,Cody Martin,5.7,3.5,2.1,0.451,0.32,0.656,5.4,-1.4
258,Eric Paschall,10.0,3.3,1.4,0.494,0.324,0.758,4.9,-2.2
259,Jaylen Nowell,8.0,2.0,1.8,0.445,0.335,0.813,3.5,-1.1
260,Isaiah Roby,8.4,5.0,1.5,0.49,0.339,0.744,3.4,-2.3
261,Talen Horton-Tucker,9.0,2.8,2.7,0.436,0.276,0.771,2.8,-2.5
262,Terance Mann,7.5,3.9,1.9,0.488,0.378,0.788,9.5,-0.6
263,Jalen McDaniels,6.5,3.5,1.0,0.47,0.342,0.709,2.8,-3.3
264,Anthony Edwards,20.1,4.7,3.3,0.424,0.341,0.777,4.5,-0.6
265,James Wiseman,11.5,5.8,0.7,0.519,0.316,0.628,0.7,-5.0
266,LaMelo Ball,18.1,6.4,6.8,0.429,0.369,0.822,8.0,2.7
267,Patrick Williams,8.8,4.4,1.3,0.483,0.391,0.716,2.6,-2.5
268,Isaac Okoro,9.4,3.1,1.9,0.442,0.317,0.756,4.7,-3.6
269,Onyeka Okongwu,6.3,4.3,0.7,0.674,0.0,0.691,5.3,-0.3
270,Killian Hayes,6.4,3.0,4.6,0.362,0.273,0.776,-1.0,-4.9
271,Obi Toppin,5.8,2.9,0.7,0.513,0.275,0.744,4.2,0.1
272,Deni Avdija,7.2,5.0,1.5,0.422,0.312,0.738,3.5,-2.3
273,Jalen Smith,6.3,4.3,0.4,0.501,0.322,0.752,2.7,-0.9
274,Devin Vassell,8.7,3.5,1.4,0.42,0.351,0.827,4.2,-1.0
275,Tyrese Haliburton,14.0,3.5,6.8,0.466,0.408,0.842,9.4,1.9
276,Kira Lewis Jr.,6.2,1.4,2.2,0.391,0.298,0.841,0.7,-3.6
277,Cole Anthony,15.1,5.2,5.1,0.394,0.34,0.844,1.8,-1.9
278,Isaiah Stewart,8.1,7.6,0.9,0.534,0.275,0.701,6.8,-2.4
279,Aleksej Pokusevski,7.7,4.9,1.9,0.374,0.275,0.719,-1.5,-4.4
280,Saddiq Bey,14.3,5.1,2.1,0.399,0.362,0.827,7.1,-0.4
281,Precious Achiuwa,7.0,5.2,0.8,0.471,0.358,0.556,3.6,-3.1
282,Tyrese Maxey,12.9,2.6,3.2,0.477,0.386,0.863,8.5,0.1
283,R.J. Hampton,7.1,3.2,2.1,0.407,0.339,0.641,0.3,-3.7
284,Immanuel Quickley,11.0,2.5,2.6,0.392,0.366,0.898,6.6,0.3
285,Payton Pritchard,6.8,2.1,1.8,0.434,0.411,0.919,4.9,0.0
286,Jaden McDaniels,8.1,4.0,1.1,0.454,0.336,0.722,4.0,-3.1
287,Malachi Flynn,6.0,2.0,2.3,0.384,0.325,0.747,1.8,-2.1
288,Desmond Bane,13.8,3.8,2.3,0.463,0.427,0.878,9.6,1.1
289,Théo Maledon,8.4,2.8,2.8,0.365,0.318,0.763,-0.7,-4.9
290,Xavier Tillman Sr.,5.7,3.7,1.1,0.527,0.298,0.645,4.4,0.3
291,Saben Lee,5.4,2.1,3.1,0.436,0.28,0.725,2.2,-1.3
292,Jordan Nwora,6.9,3.0,0.7,0.417,0.369,0.784,1.0,-3.3
293,Kenyon Martin Jr.,9.1,4.4,1.2,0.528,0.365,0.663,5.0,-1.3
294,Cade Cunningham,17.1,5.8,5.5,0.413,0.319,0.84,-0.4,-1.6
295,Jalen Green,15.9,3.3,2.6,0.417,0.332,0.799,0.1,-3.4
296,Evan Mobley,15.0,8.3,2.6,0.504,0.253,0.669,5.1,0.5
297,Scottie Barnes,15.4,7.6,3.5,0.49,0.304,0.727,5.8,0.9
298,Jalen Suggs,12.1,3.7,4.4,0.361,0.216,0.773,-1.5,-5.5
299,Josh Giddey,12.5,7.8,6.4,0.419,0.263,0.709,0.5,-0.9
300,Jonathan Kuminga,9.3,3.3,0.8,0.513,0.316,0.673,2.5,-2.2
301,Franz Wagner,15.4,4.6,2.9,0.466,0.352,0.86,3.9,-0.8
302,Davion Mitchell,10.9,2.2,3.5,0.415,0.321,0.613,0.2,-3.7
303,Ziaire Williams,7.5,2.0,1.0,0.455,0.309,0.743,1.8,-3.4
304,James Bouknight,5.0,1.7,0.8,0.353,0.347,0.871,0.1,-6.7
305,Joshua Primo,5.4,2.3,1.4,0.381,0.304,0.75,0.2,-4.6
306,Chris Duarte,13.1,4.1,2.1,0.432,0.369,0.804,1.1,-2.2
307,Corey Kispert,7.6,2.6,1.0,0.445,0.341,0.849,1.8,-2.6
308,Alperen Şengün,9.3,5.3,2.4,0.476,0.257,0.691,1.9,-0.9
309,Tre Mann,10.4,2.9,1.5,0.393,0.36,0.793,0.2,-4.4
310,Keon Johnson,5.6,2.0,1.3,0.331,0.327,0.8,-0.4,-6.6
311,Isaiah Jackson,7.5,4.1,0.3,0.552,0.308,0.653,1.1,-1.4
312,Josh Christopher,7.4,2.3,1.9,0.443,0.301,0.77,0.1,-3.7
313,Quentin Grimes,6.1,2.0,0.9,0.409,0.389,0.684,1.4,-0.2
314,Bones Hyland,9.8,2.7,2.5,0.4,0.379,0.841,1.9,-0.7
